year,column_name,total_count,count_not_nulls,survey_table_name
2013,C18ENPRF_label,7764,0,InstitutionalCharacteristics_HD
2012,C18ENPRF_label,7735,0,InstitutionalCharacteristics_HD
2011,C18ENPRF_label,7643,0,InstitutionalCharacteristics_HD
2010,C18ENPRF_label,7503,0,InstitutionalCharacteristics_HD
2009,C18ENPRF_label,7316,0,InstitutionalCharacteristics_HD
2008,C18ENPRF_label,7126,0,InstitutionalCharacteristics_HD
2007,C18ENPRF_label,7052,0,InstitutionalCharacteristics_HD
2006,C18ENPRF_label,7052,0,InstitutionalCharacteristics_HD
2005,C18ENPRF_label,7018,0,InstitutionalCharacteristics_HD
2004,C18ENPRF_label,6916,0,InstitutionalCharacteristics_HD
2021,C18IPGRD,6289,0,InstitutionalCharacteristics_HD
2020,C18IPGRD,6440,6440,InstitutionalCharacteristics_HD
2019,C18IPGRD,6559,6559,InstitutionalCharacteristics_HD
2018,C18IPGRD,6857,6857,InstitutionalCharacteristics_HD
2017,C18IPGRD,7153,0,InstitutionalCharacteristics_HD
2016,C18IPGRD,7521,0,InstitutionalCharacteristics_HD
2015,C18IPGRD,7647,0,InstitutionalCharacteristics_HD
2014,C18IPGRD,7687,0,InstitutionalCharacteristics_HD
2013,C18IPGRD,7764,0,InstitutionalCharacteristics_HD
2012,C18IPGRD,7735,0,InstitutionalCharacteristics_HD
2011,C18IPGRD,7643,0,InstitutionalCharacteristics_HD
2010,C18IPGRD,7503,0,InstitutionalCharacteristics_HD
2009,C18IPGRD,7316,0,InstitutionalCharacteristics_HD
2008,C18IPGRD,7126,0,InstitutionalCharacteristics_HD
2007,C18IPGRD,7052,0,InstitutionalCharacteristics_HD
2006,C18IPGRD,7052,0,InstitutionalCharacteristics_HD
2005,C18IPGRD,7018,0,InstitutionalCharacteristics_HD
2004,C18IPGRD,6916,0,InstitutionalCharacteristics_HD
